cod_partido,cod_candidato,nombre_completo
0026,001,IVÁN CEPEDA CASTRO
1004,002,CLAUDIA LÓPEZ
1001,003,RAÚL SANTIAGO BOTERO JARAMILLO
1003,004,ABELARDO DE LA ESPRIELLA
3001,005,ÓSCAR MAURICIO LIZCANO ARANGO
0020,006,MIGUEL URIBE LONDOÑO
1002,007,SONDRA MACOLLINS GARVIN PINTO
0022,008,ROY LEONARDO BARRERAS MONTEALEGRE
1006,009,CARLOS EDUARDO CAICEDO OMAR
0021,010,GUSTAVO MATAMOROS CAMACHO
0009,011,PALOMA VALENCIA LASERNA
0015,012,SERGIO FAJARDO VALDERRAMA
1005,013,LUIS GILBERTO MURILLO URRUTIA
0000,996,No Marcados
0000,997,Votos Nulos
0000,998,Votos en Blanco
