cod_departamento,cod_municipio,cod_zona,cod_puesto,departamento,municipio,puesto,comuna_nombre
01,001,01,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No,COMUNA 1 POPULAR
01,001,01,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,COMUNA 1 POPULAR
01,001,01,03,ANTIOQUIA,MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,COMUNA 1 POPULAR
01,001,01,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,COMUNA 1 POPULAR
01,001,01,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,COMUNA 1 POPULAR
01,001,01,06,ANTIOQUIA,MEDELLIN,IE LA AVANZADA,COMUNA 1 POPULAR
01,001,01,07,ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,COMUNA 1 POPULAR
01,001,01,08,ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,COMUNA 1 POPULAR
01,001,01,09,ANTIOQUIA,MEDELLIN,SEC. ESC. NUEVO HORIZONTE,COMUNA 1 POPULAR
01,001,02,01,ANTIOQUIA,MEDELLIN,I.E. NUEVO HORIZONTE - PAULO VI,COMUNA 1 POPULAR
01,001,02,02,ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,COMUNA 1 POPULAR
01,001,02,03,ANTIOQUIA,MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VALLE,COMUNA 1 POPULAR
01,001,02,04,ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,COMUNA 1 POPULAR
01,001,02,05,ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,COMUNA 1 POPULAR
01,001,03,01,ANTIOQUIA,MEDELLIN,I.E.  ASIA IGNACIANA,COMUNA 2 SANTA CRUZ
01,001,03,02,ANTIOQUIA,MEDELLIN,SEC.ESC.  MANUEL URIBE ANGEL,COMUNA 2 SANTA CRUZ
01,001,03,03,ANTIOQUIA,MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,COMUNA 2 SANTA CRUZ
01,001,03,04,ANTIOQUIA,MEDELLIN,SEC ESC LA FRONTERA,COMUNA 2 SANTA CRUZ
01,001,04,01,ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ,COMUNA 2 SANTA CRUZ
01,001,04,02,ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA,COMUNA 2 SANTA CRUZ
01,001,04,03,ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE HONDURAS,COMUNA 2 SANTA CRUZ
01,001,05,01,ANTIOQUIA,MEDELLIN,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,COMUNA 3 MANRIQUE
01,001,05,02,ANTIOQUIA,MEDELLIN,IE LAS NIEVES,COMUNA 3 MANRIQUE
01,001,05,03,ANTIOQUIA,MEDELLIN,I.E. MANUELA BELTRAN,COMUNA 3 MANRIQUE
01,001,05,04,ANTIOQUIA,MEDELLIN,SEC ESC SAN JOSE (IE MANUELA BELTRAN),COMUNA 3 MANRIQUE
01,001,05,05,ANTIOQUIA,MEDELLIN,I.E.RAMON MUNERA LOPERA,COMUNA 3 MANRIQUE
01,001,05,06,ANTIOQUIA,MEDELLIN,IE BELLO ORIENTE,COMUNA 3 MANRIQUE
01,001,05,07,ANTIOQUIA,MEDELLIN,IE JOSE ROBERTO VASQUEZ,COMUNA 3 MANRIQUE
01,001,05,08,ANTIOQUIA,MEDELLIN,SEC. ESC. BALDOMERO SANIN CANO,COMUNA 3 MANRIQUE
01,001,06,01,ANTIOQUIA,MEDELLIN,I.E. JOSE ANTONIO GALAN,COMUNA 3 MANRIQUE
01,001,06,02,ANTIOQUIA,MEDELLIN,I.E. HERNAN TORO AGUDELO,COMUNA 3 MANRIQUE
01,001,06,03,ANTIOQUIA,MEDELLIN,IE RODRIGO LARA BONILLA - SEDE LA SUSANA,COMUNA 3 MANRIQUE
01,001,06,04,ANTIOQUIA,MEDELLIN,IE SAN JUAN BAUTISTA DE LA SALLE,COMUNA 3 MANRIQUE
