cod_departamento,departamento,cod_candidato,candidato,partido,votos
01,ANTIOQUIA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1725297
01,ANTIOQUIA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,806959
01,ANTIOQUIA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,294557
01,ANTIOQUIA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,225181
01,ANTIOQUIA,996,No Marcados,Sin partido / Voto especial,60490
01,ANTIOQUIA,997,Votos Nulos,Sin partido / Voto especial,31045
01,ANTIOQUIA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,30107
01,ANTIOQUIA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,13065
01,ANTIOQUIA,998,Votos en Blanco,Sin partido / Voto especial,9906
01,ANTIOQUIA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,4355
01,ANTIOQUIA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,4271
01,ANTIOQUIA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",2711
01,ANTIOQUIA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1843
01,ANTIOQUIA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,605
01,ANTIOQUIA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
03,ATLANTICO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,553101
03,ATLANTICO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,433031
03,ATLANTICO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,27819
03,ATLANTICO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,20950
03,ATLANTICO,996,No Marcados,Sin partido / Voto especial,12351
03,ATLANTICO,997,Votos Nulos,Sin partido / Voto especial,4714
03,ATLANTICO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3288
03,ATLANTICO,998,Votos en Blanco,Sin partido / Voto especial,2271
03,ATLANTICO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2245
03,ATLANTICO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,2046
03,ATLANTICO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,593
