cod_departamento,departamento,cod_municipio,municipio,cod_candidato,candidato,partido,votos
01,ANTIOQUIA,001,MEDELLIN,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,677108
01,ANTIOQUIA,001,MEDELLIN,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,300517
01,ANTIOQUIA,001,MEDELLIN,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,105595
01,ANTIOQUIA,001,MEDELLIN,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,102007
01,ANTIOQUIA,001,MEDELLIN,996,No Marcados,Sin partido / Voto especial,23401
01,ANTIOQUIA,001,MEDELLIN,997,Votos Nulos,Sin partido / Voto especial,11111
01,ANTIOQUIA,001,MEDELLIN,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,9158
01,ANTIOQUIA,001,MEDELLIN,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,4963
01,ANTIOQUIA,001,MEDELLIN,998,Votos en Blanco,Sin partido / Voto especial,2307
01,ANTIOQUIA,001,MEDELLIN,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,1329
01,ANTIOQUIA,001,MEDELLIN,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1269
01,ANTIOQUIA,001,MEDELLIN,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",724
01,ANTIOQUIA,001,MEDELLIN,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,496
01,ANTIOQUIA,001,MEDELLIN,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,198
01,ANTIOQUIA,001,MEDELLIN,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,001,MEDELLIN,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,004,ABEJORRAL,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,4191
01,ANTIOQUIA,004,ABEJORRAL,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,1635
01,ANTIOQUIA,004,ABEJORRAL,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,924
01,ANTIOQUIA,004,ABEJORRAL,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,343
01,ANTIOQUIA,004,ABEJORRAL,996,No Marcados,Sin partido / Voto especial,113
01,ANTIOQUIA,004,ABEJORRAL,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,102
01,ANTIOQUIA,004,ABEJORRAL,997,Votos Nulos,Sin partido / Voto especial,65
01,ANTIOQUIA,004,ABEJORRAL,998,Votos en Blanco,Sin partido / Voto especial,59
01,ANTIOQUIA,004,ABEJORRAL,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,45
01,ANTIOQUIA,004,ABEJORRAL,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,29
01,ANTIOQUIA,004,ABEJORRAL,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",22
01,ANTIOQUIA,004,ABEJORRAL,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,15
01,ANTIOQUIA,004,ABEJORRAL,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,11
01,ANTIOQUIA,004,ABEJORRAL,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,6
01,ANTIOQUIA,004,ABEJORRAL,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,004,ABEJORRAL,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,007,ABRIAQUI,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,592
01,ANTIOQUIA,007,ABRIAQUI,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,319
01,ANTIOQUIA,007,ABRIAQUI,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,102
01,ANTIOQUIA,007,ABRIAQUI,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,26
01,ANTIOQUIA,007,ABRIAQUI,997,Votos Nulos,Sin partido / Voto especial,18
01,ANTIOQUIA,007,ABRIAQUI,996,No Marcados,Sin partido / Voto especial,16
01,ANTIOQUIA,007,ABRIAQUI,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,8
01,ANTIOQUIA,007,ABRIAQUI,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,4
01,ANTIOQUIA,007,ABRIAQUI,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",3
01,ANTIOQUIA,007,ABRIAQUI,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,3
01,ANTIOQUIA,007,ABRIAQUI,998,Votos en Blanco,Sin partido / Voto especial,3
01,ANTIOQUIA,007,ABRIAQUI,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,2
01,ANTIOQUIA,007,ABRIAQUI,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1
01,ANTIOQUIA,007,ABRIAQUI,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,007,ABRIAQUI,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,0
01,ANTIOQUIA,007,ABRIAQUI,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,010,ALEJANDRIA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1811
01,ANTIOQUIA,010,ALEJANDRIA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,389
01,ANTIOQUIA,010,ALEJANDRIA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,312
01,ANTIOQUIA,010,ALEJANDRIA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,114
01,ANTIOQUIA,010,ALEJANDRIA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,48
01,ANTIOQUIA,010,ALEJANDRIA,996,No Marcados,Sin partido / Voto especial,30
01,ANTIOQUIA,010,ALEJANDRIA,998,Votos en Blanco,Sin partido / Voto especial,25
01,ANTIOQUIA,010,ALEJANDRIA,997,Votos Nulos,Sin partido / Voto especial,14
01,ANTIOQUIA,010,ALEJANDRIA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,8
01,ANTIOQUIA,010,ALEJANDRIA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,3
01,ANTIOQUIA,010,ALEJANDRIA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",3
01,ANTIOQUIA,010,ALEJANDRIA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2
01,ANTIOQUIA,010,ALEJANDRIA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1
01,ANTIOQUIA,010,ALEJANDRIA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,010,ALEJANDRIA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,0
01,ANTIOQUIA,010,ALEJANDRIA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
