cod_candidato,candidato,partido,votos
004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,10366143
001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,9703921
011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,1640989
012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,1009346
996,No Marcados,Sin partido / Voto especial,407304
997,Votos Nulos,Sin partido / Voto especial,245179
002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,224137
003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,205319
998,Votos en Blanco,Sin partido / Voto especial,69400
005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,52705
006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,28167
007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",19387
008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,13737
010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,4901
009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
